first_name,last_name,birthday,address,email,phone,years_as_customer
Todd,Johnson,1955-07-22,"2408 David Motorway Port Sarahfurt, WA 87912",ToddJohnson@outlook.com,9768861873,2
John,Anderson,1994-03-14,"38271 Robert Port West Andrew, MA 46914",J.Anderson@gmail.com,8847195703,7
Jane,Dunn,1957-09-06,"641 Humphrey Junctions New Joshuahaven, AZ 84393",JaneDunn@outlook.com,8994114461,2
Brent,Johnson,1990-07-03,"6463 Horn Greens Apt. 058 Feliciaton, WY 82630",BrentJohnson@gmail.com,9398193392,5
Lisa,Dominguez,1957-05-28,"58265 Laura Avenue East Kevin, NE 19923",Lisa.D@hotmail.com,9924233795,8
Katherine,Scott,1966-05-11,"346 Tracy Camp Apt. 486 South Michael, WI 91073",Lisa.D@hotmail.com,6846329570,3
Jamie,Jones,1972-07-17,"1263 Sharon Mountains Apt. 451 Woodardville, FL 62266",JamieJones@live.com,8448397366,9
Nicholas,Colon,1968-07-07,"5380 Johnson Terrace East Alanborough, GA 90799",NicholasColon@gmail.com,7583850757,2
Lucas,Mcpherson,1959-11-09,"647 Virginia Trail North Sarah, MT 95771",Lucas.M@outlook.com,9469968484,4
Jennifer,Garcia,1991-01-10,"5056 Amy Estates Port Kenneth, NE 68119",J.Garcia@hotmail.com,9366597865,2
Kristy,Morrow,1997-02-22,"8588 Angela Vista Alexanderstad, IA 93417",Kristy.M@hotmail.com,7839992119,7
Rachael,Reynolds,1961-12-15,"4403 Chris Motorway New Mariaborough, ND 72115",R.Reynolds@msn.com,6697078973,1
John,Cantrell,1967-07-13,"889 Laura Crossroad Apt. 525 Alvaradotown, PA 01446",R.Reynolds@msn.com,6415953227,8
Carolyn,Stevens,1965-01-15,"52598 Pace Harbors Apt. 387 Tiffanyville, ID 78820",CarolynStevens@yahoo.com,8094964723,6
Howard,Fox,2002-10-31,"181 Jones Run Jamesborough, HI 21021",H.Fox@gmail.com,9388401236,8
Eric,Raymond,2001-05-05,"507 Barnes Locks Suite 172 Derrickchester, VT 16818",E.Raymond@msn.com,9518989531,3
David,Vasquez,1987-02-01,"57069 Jackson Camp West Andrew, NY 13623",E.Raymond@msn.com,8719046187,1
Carla,Wilson,2002-05-25,"78510 Beck Locks Apt. 996 North Nicholasmouth, RI 32836",E.Raymond@msn.com,8063107791,2
Laura,Bailey,1980-10-14,Unit 0410 Box 9203 DPO AA 51923,E.Raymond@msn.com,9326080096,3
Christine,Lawson,1970-04-01,"900 Barnett Shoals New Terrishire, DE 93280",E.Raymond@msn.com,8011512257,7
Claudia,Pope,1955-02-18,"86177 Pineda Meadow Apt. 884 New Angelaport, HI 65352",C.Pope@gmail.com,7706108611,3
Jose,Brown,2003-07-20,"79181 Marissa Ford Apt. 901 South Shannon, MA 33577",C.Pope@gmail.com,8229929554,5
Frank,Tran,1984-03-12,"416 Smith Points Apt. 786 Ryanview, ME 34338",C.Pope@gmail.com,8394808256,7
Heather,Ware,1958-05-05,"51257 Harding Squares Kevinchester, WV 52060",Heather.W@live.com,6708323729,5
Jessica,Gray,1954-10-25,"745 Daniel Plains Evanstad, NV 15492",J.Gray@msn.com,7131082796,4
Taylor,Carey,1992-04-05,"30425 Teresa Row Christopherview, OK 88659",J.Gray@msn.com,6186709172,8
David,Harris,1960-09-09,"2779 Huynh Station West Taraberg, GA 13003",DavidHarris@yahoo.com,8392378124,5
Dawn,Fowler,1985-08-22,"217 Taylor Tunnel Apt. 427 Mariostad, AR 24746",DavidHarris@yahoo.com,8222458723,6
Erin,Jackson,2001-08-23,"354 Alvarado Shoals Apt. 881 North Amandaport, MO 66629",E.Jackson@msn.com,9970836502,6
Jennifer,Pierce,1977-03-15,"77821 Christine Glen East Travismouth, SC 28620",E.Jackson@msn.com,8830492494,7
Jennifer,Hernandez,1958-01-16,"574 Wilson Forest South Curtis, MO 17330",J.Hernandez@hotmail.com,6869896225,7
Michelle,Gibbs,1981-02-11,"38681 Jennifer Island Suite 883 Ramirezview, NY 08568",Michelle.G@live.com,9931778328,2
Angela,Haas,1998-03-14,"5744 Laura Loaf Lake Kristen, DC 01258",Angela.H@yahoo.com,7028057167,10
Valerie,Garcia,1990-01-01,"524 Jill Isle Stephaniestad, NJ 61113",ValerieGarcia@msn.com,7293260549,5
Michael,Figueroa,1995-01-12,"994 Wendy Overpass Apt. 504 Wilsonhaven, DE 68098",MichaelFigueroa@yahoo.com,8324404180,4
Jessica,Ayala,1988-02-04,"786 Sonya Ports Martinfurt, MI 90843",Jessica.A@live.com,6213835574,4
Richard,Flores,1978-03-19,"73743 Mikayla Meadows Suite 076 South Christine, CO 45147",RichardFlores@yahoo.com,9217986192,7
Nicole,Miles,1983-09-14,"0983 Patrick Roads Ericburgh, SD 73345",Nicole.M@aol.com,8476888782,1
Sydney,Kramer,1962-06-09,Unit 3571 Box 3709 DPO AE 32153,Nicole.M@aol.com,6194183658,5
Jillian,Fowler,1986-06-23,"973 Banks Parkways Suite 306 North Nicoleland, NY 63800",J.Fowler@outlook.com,6616141960,5
William,Hawkins,1983-02-11,"89105 Jensen Inlet Alexmouth, CO 92204",J.Fowler@outlook.com,9029581443,4
Felicia,Marshall,2000-01-18,"98800 Hernandez Square Hamiltonchester, MS 30270",FeliciaMarshall@yahoo.com,6072214546,2
Jane,Cunningham,1955-02-25,"542 Michael Brooks Salinasshire, PA 17306",Jane.C@live.com,7748253013,1
Carrie,Peterson,1983-01-13,"2324 Monica Square Brianville, TX 19280",CarriePeterson@msn.com,6169336702,9
Miranda,Lindsey,1988-12-28,"0639 Flores Canyon Apt. 156 South Billyburgh, DE 36770",MirandaLindsey@yahoo.com,9781462046,3
Kelsey,Cook,1995-06-30,"161 Robert Bypass Suite 966 Nealmouth, SD 84816",MirandaLindsey@yahoo.com,7612477328,3
Deanna,Richardson,1978-02-22,"79366 Mason Freeway Apt. 036 Port Amber, AL 86188",DeannaRichardson@aol.com,8629370420,2
Hannah,Reyes,1965-01-21,"06741 Troy Knolls Apt. 797 South Bettyhaven, CT 14366",H.Reyes@msn.com,7924211217,2
Brett,Lopez,1976-06-17,"1879 Rocha Way South Lucasshire, MT 63049",H.Reyes@msn.com,7042623889,5
