first_name,last_name,birthday,address,email,phone,years_as_customer
Charles,Cook,1993-05-16,"6788 Fowler Inlet Port Danielbury, SD 95916",C.Cook@msn.com,6800221173,2
Shelly,Jackson,2002-08-17,"9007 Hull Greens New Williamberg, DC 84343",ShellyJackson@hotmail.com,6557156119,8
Christopher,Craig,1956-02-01,"5443 Sellers Village Apt. 354 Heatherville, MA 24750",ShellyJackson@hotmail.com,9183308879,4
Rebecca,Foley,1966-05-17,"05374 Lopez Walks South Emilyshire, SD 91570",Rebecca.F@aol.com,9647197166,1
Emma,Moore,1994-01-02,"773 Mary Ports Wilsonstad, WY 51116",Rebecca.F@aol.com,7223712620,7
Connor,Brooks,1988-04-30,"6528 Lisa Club Suite 120 New Aimeeland, WY 15570",Rebecca.F@aol.com,9094325039,4
Renee,Burns,1961-12-10,"115 Brandon Groves Suite 394 Lake Janice, NC 49755",Rebecca.F@aol.com,6116002721,3
Julia,Drake,1983-04-28,"8807 Barton Spring Jefferymouth, HI 36484",J.Drake@aol.com,8366268573,8
Crystal,Watson,1964-12-21,"58736 Joseph Lock New Brett, DE 72179",C.Watson@outlook.com,8551698319,6
Brittany,Blake,1968-01-07,"8033 Kevin Ville Suite 831 Teresaland, OH 00970",BrittanyBlake@aol.com,9216726603,7
Pamela,Allen,1977-08-04,"83394 Evans Burgs East Jefferyview, WI 28660",Pamela.A@live.com,6111055570,5
Mary,Lewis,1959-05-02,"040 Lisa Plains South Matthewport, SD 50513",Mary.L@gmail.com,7753073000,1
Julia,Brown,1974-11-25,"276 Cook Field Apt. 744 South Elizabeth, SD 84903",Mary.L@gmail.com,7544032318,6
Shelley,Santos,1955-03-02,USNS Hoffman FPO AP 06677,ShelleySantos@aol.com,6235382785,8
Danielle,Austin,1998-06-27,"3750 Jeffrey Vista Apt. 755 Port Cory, ID 20504",D.Austin@gmail.com,8404150250,8
Robin,King,1957-12-28,"08613 Frederick Tunnel Suite 538 New Adamton, PA 24973",RobinKing@hotmail.com,7674638660,1
Laura,Morgan,1992-12-20,"105 Ryan Prairie Apt. 701 East Jamie, AR 57688",LauraMorgan@msn.com,8323267816,6
Ricardo,Mcneil,1982-01-19,"PSC 3277, Box 4205 APO AA 38125",LauraMorgan@msn.com,6140012003,6
Brenda,Norman,1969-03-05,"54604 Maldonado Walks Apt. 689 Kathleenside, KS 86702",Brenda.N@yahoo.com,6008757940,1
David,Griffin,1961-11-16,"3057 Gail Drives Brianchester, WY 27201",Brenda.N@yahoo.com,7781378994,10
John,Williams,1965-10-03,"67597 Robert Turnpike Port Michelle, IL 94153",Brenda.N@yahoo.com,9795898860,2
David,Johnson,1977-08-12,"00646 James Loaf Apt. 112 Port Daniel, SC 30250",DavidJohnson@aol.com,9252908240,2
Charles,Valdez,1993-07-22,"58477 Garcia Mills Port Kelly, OH 95869",C.Valdez@outlook.com,8950643876,7
Samantha,Cannon,1988-09-21,"4419 Brooks Courts Apt. 226 Lake Debrafurt, IL 12142",S.Cannon@yahoo.com,8620739951,1
Samuel,Kelley,1985-06-09,"588 Brian Creek Justinchester, VA 35742",S.Cannon@yahoo.com,8634300612,1
Christopher,Trujillo,1971-04-08,"42362 Michael Forges South Vanessafurt, ID 75360",S.Cannon@yahoo.com,9149802076,6
George,Williams,1971-07-12,"PSC 7661, Box 3645 APO AA 48057",S.Cannon@yahoo.com,9968946358,4
Shelby,Cunningham,1980-12-06,"723 Hardin Mall Suite 649 Valdezmouth, MO 42424",S.Cannon@yahoo.com,6090685304,8
Jessica,Williams,1987-07-16,"5372 Daniel Trafficway West Renee, NV 68245",S.Cannon@yahoo.com,6301155464,8
Daniel,Williams,1982-10-12,"72378 Anne Glen Apt. 583 Lake Amanda, TN 56787",Daniel.W@live.com,8729401879,2
Amy,Gutierrez,1977-11-10,"504 Gary Meadows Hollandland, TN 36822",AmyGutierrez@gmail.com,9923127502,5
Diana,Nelson,1962-01-28,"202 Fields Center Apt. 395 Maciastown, IN 72023",D.Nelson@live.com,7554996221,10
Joyce,Rose,1971-11-02,"48625 Christine Roads Suite 259 Kimberlyport, GA 12004",D.Nelson@live.com,8050691697,4
Joshua,Clark,1972-09-22,"PSC 2592, Box 0123 APO AA 21076",J.Clark@gmail.com,8381941636,3
Timothy,Cruz,1985-08-06,"4609 Scott Place Apt. 956 East Daniellechester, MN 04585",J.Clark@gmail.com,9741342705,3
Ronald,Jimenez,1984-09-28,"0072 Lewis Drive West Deborah, HI 48073",R.Jimenez@gmail.com,7329848951,8
Nicholas,Hess,1983-03-19,"860 Edgar Hollow Danielville, RI 21243",R.Jimenez@gmail.com,6453472495,3
John,Webb,1964-10-31,"762 April Heights Pattersontown, TN 85562",R.Jimenez@gmail.com,8531722491,7
Sue,Shah,1956-09-16,Unit 4096 Box 9291 DPO AA 00669,Sue.S@gmail.com,9218985201,7
Bryan,Smith,1995-07-28,"PSC 4189, Box 7574 APO AE 07045",Sue.S@gmail.com,9401799792,8
Timothy,Schmidt,1962-12-26,"463 Kathleen Way Suite 011 Caitlintown, MA 08118",T.Schmidt@yahoo.com,9636177123,2
Aaron,Nguyen,1975-01-21,"83675 Steele Drives South Jenna, HI 81251",A.Nguyen@gmail.com,6534822408,9
Michael,Jackson,1976-05-29,"576 Huber Circle Robertsport, OK 42156",A.Nguyen@gmail.com,9513090850,10
