first_name,last_name,birthday,address,email,phone,years_as_customer
Jacob,Decker,1968-09-02,"37366 Wallace Centers Suite 200 Port Josephville, CT 02957",JacobDecker@aol.com,6543043122,6
Christine,Anderson,1961-01-11,"530 Freeman Walk Suite 840 Ramirezfurt, AL 15090",Christine.A@live.com,6542071491,2
Brandon,Hill,1988-01-19,"445 Wood Freeway Suite 183 Danielland, SD 25363",Brandon.H@yahoo.com,9523152480,9
Devin,Nichols,1971-10-31,"194 Rose Lock Suite 959 Caroltown, TN 37259",Brandon.H@yahoo.com,6092539760,7
Amber,Steele,1975-11-07,"05670 Owen Estates Apt. 540 Rodriguezport, AK 92286",A.Steele@live.com,6214612242,1
James,Hanson,1999-02-23,"1621 Jarvis Trail West Karenbury, OK 58492",JamesHanson@yahoo.com,9260199461,5
Jessica,Gonzalez,1954-03-14,"421 Manuel Extensions Apt. 498 East Randymouth, WA 55889",Jessica.G@live.com,6141661909,9
Kathleen,Howard,1993-11-13,"8865 Heather Vista New Katie, UT 06742",KathleenHoward@yahoo.com,8201448142,8
Mary,Martinez,1999-02-17,"51716 Rebecca Flat Apt. 219 West Alejandra, CT 70853",M.Martinez@aol.com,6451536421,7
Heidi,Daniels,1997-03-31,"895 Gabrielle Village Lake Robertfort, KY 39106",H.Daniels@aol.com,6406576056,10
Alexander,Barrett,1998-03-26,"5051 Diaz Courts Apt. 226 Port Susanstad, MS 57750",AlexanderBarrett@yahoo.com,6018307552,1
Victoria,Cooper,1985-02-25,"7170 Michael Prairie Apt. 508 Adkinstown, MD 99035",Victoria.C@msn.com,9159089850,6
Diana,Haynes,1981-09-15,"8728 Valerie Throughway Michaelmouth, NH 36338",DianaHaynes@yahoo.com,6715049362,4
Joseph,Fisher,1991-02-24,"85888 James Alley Apt. 835 New Jessica, AK 70557",JosephFisher@yahoo.com,9211040397,5
Todd,Gilbert,1958-07-13,"42776 Thomas Fords Laurachester, NJ 33933",JosephFisher@yahoo.com,9535189082,6
Maria,Williamson,1993-06-11,"095 Christine Lock Suite 196 New Alexa, CO 25086",JosephFisher@yahoo.com,9577653101,7
Jason,Ward,1996-12-05,"17244 Franco Keys Lake Zacharymouth, SD 02784",JosephFisher@yahoo.com,8823565937,7
Heidi,Eaton,1973-10-28,"3520 Vasquez Tunnel Lake Cindy, LA 06580",Heidi.E@msn.com,9621006524,8
John,Sanders,2002-08-10,"43587 Lisa Path Suite 397 Dominguezmouth, KS 68274",Heidi.E@msn.com,9600432672,6
Marissa,Long,1992-06-25,"6738 Mitchell Throughway North Rodney, NC 01430",Heidi.E@msn.com,7114848270,3
Jennifer,Aguirre,1955-07-01,"04866 Gutierrez Island Jacksonmouth, MO 31147",Jennifer.A@gmail.com,7821649488,10
Ryan,Schneider,1990-11-18,"7707 Johnson Club Apt. 266 Nealbury, HI 66566",Jennifer.A@gmail.com,9412550435,4
Ryan,Austin,1985-07-18,"586 Jeffrey Freeway Suite 984 Johnport, NJ 16619",Ryan.A@live.com,8611531012,6
Carla,Gould,1977-06-22,"29153 Johnson Parkway Apt. 757 Johnborough, UT 09423",Ryan.A@live.com,6882790351,7
Richard,Bass,1954-02-17,"268 Angela Lake Port Michaelland, SD 47891",Richard.B@aol.com,6854277015,8
Barbara,Jordan,1956-08-01,"798 Austin Fords Suite 030 Paulamouth, WA 03588",BarbaraJordan@msn.com,9184431566,9
Russell,Ward,1974-09-20,"489 Sean Motorway Suite 031 Petersenside, NM 65384",BarbaraJordan@msn.com,7397739160,4
Susan,Stout,1987-10-09,USNS Campbell FPO AA 16716,BarbaraJordan@msn.com,6675913059,9
Billy,Roberts,1985-12-19,"73779 Robertson Pine Munozside, OK 59090",B.Roberts@live.com,9858627006,9
Katrina,Chase,1958-12-23,"4799 Rhonda Mountains Dianabury, NC 63514",Katrina.C@live.com,8503986653,10
Diane,Goodman,1976-11-26,"103 Cunningham Port Suite 345 Laurachester, MD 91160",Katrina.C@live.com,6997037056,5
Ashley,Miller,1993-02-15,"773 Lewis Trafficway East Fred, MN 10171",Katrina.C@live.com,6217735535,6
James,Brown,1974-01-18,"571 Pena Road Riveraburgh, ND 10166",J.Brown@msn.com,8899826996,6
Richard,Acevedo,2003-06-28,"PSC 4812, Box 7968 APO AP 49801",J.Brown@msn.com,8606667327,10
Bryan,Riley,1961-11-13,"PSC 8037, Box 7579 APO AE 92646",Bryan.R@live.com,9662301340,10
Wesley,Brown,1954-08-06,"6371 Johnson Creek South Sarahmouth, TX 52773",WesleyBrown@outlook.com,9188705872,10
Paula,Lambert,2002-09-17,USS Davis FPO AE 57792,Paula.L@aol.com,9100203326,5
Mallory,Frazier,1980-10-11,"2059 Sanchez Burgs Williammouth, PA 33817",MalloryFrazier@hotmail.com,8989287141,6
Brian,Sandoval,1964-04-20,"605 Sheena Mountain Apt. 857 Jonesmouth, KY 04943",B.Sandoval@yahoo.com,8644906281,5
Ashley,Stephens,1975-01-07,"685 Hanna Neck West Melissa, AL 93730",Ashley.S@gmail.com,6732356538,7
Julie,Murray,1999-12-12,"PSC 9372, Box 9627 APO AE 70863",Ashley.S@gmail.com,7756593382,2
Erin,Nguyen,1987-10-12,"637 Cook Forest Apt. 082 Adamsville, CT 51537",Ashley.S@gmail.com,8835666339,8
Jeremy,Johnson,1959-03-14,"377 Victor Loaf Suite 395 East Ernest, MS 27877",JeremyJohnson@aol.com,8392301375,8
Brian,Davis,1991-09-28,"80248 Randall Cliff Suite 143 Fowlerbury, PA 65104",Brian.D@live.com,7878740265,5
Sarah,White,1978-10-29,"651 Jennifer Harbor Suite 244 East Jay, IN 51866",Sarah.W@outlook.com,7778502885,9
Susan,Holden,2000-01-11,"16248 Pittman Gateway Suite 207 Robertsonland, OH 21323",SusanHolden@yahoo.com,7226816074,7
Michael,Dickson,1987-11-17,"27899 Stephanie Islands Apt. 834 Lopezview, NC 07949",MichaelDickson@aol.com,8734787665,6
Sheri,Poole,1974-10-16,"93516 David Circles Suite 693 Kristiport, KS 61569",SheriPoole@gmail.com,9124462267,6
Kevin,Holloway,1960-12-05,"2368 Jim Viaduct Hicksshire, TX 66824",K.Holloway@outlook.com,6574930452,7
Charles,Durham,1955-07-20,"286 Spencer River Apt. 219 Lake Annaburgh, NY 19737",C.Durham@aol.com,6592216877,4
